id,name,skill,age,gender,availability_status,rating,language,hobli
1335,Labor 335,Pond Preparation,49,female,unavailable,3.1,Punjabi,Tiptur Hobli
1336,Labor 336,Fish Feeding Techniques,35,male,available,1.1,Hindi,Gubbi Hobli
1337,Labor 337,Net Casting/Harvesting,52,female,part-time,2.7,Kannada,Kunigal Hobli
1338,Labor 338,Organic Farming,25,female,unavailable,2.6,Telugu,Karwar Hobli
1339,Labor 339,Vermicomposting,27,female,available,1.9,Punjabi,Bhatkal Hobli
1340,Labor 340,Biofertilizer Application,23,male,part-time,3.6,Hindi,Kumta Hobli
1341,Labor 341,"Natural Pest Control (Neem, Cow Urine)",29,male,unavailable,4.6,Kannada,Honavar Hobli
1342,Labor 342,Greenhouse Management,37,female,available,3.9,Telugu,Honavar Hobli
1343,Labor 343,Polyhouse Maintenance,52,female,part-time,3.7,Punjabi,Jalahalli Hobli
1344,Labor 344,Hydroponics/Aquaponics,57,female,unavailable,1.7,Hindi,Yelahanka Hobli
1345,Labor 345,Agroforestry,22,male,available,3.9,Kannada,Hebbal Hobli
1346,Labor 346,Sapling Planting,42,female,part-time,4.3,Telugu,Hennur Hobli
1347,Labor 347,Timber Harvesting,59,male,unavailable,1.3,Punjabi,Banaswadi Hobli
1348,Labor 348,Beekeeping (for Pollination),26,female,available,1.8,Hindi,Anekal Hobli
1349,Labor 349,Irrigation Technician,48,female,part-time,3.8,Kannada,Koramangala Hobli
1350,Labor 350,Land Leveler,41,female,unavailable,4,Telugu,Begur Hobli
1351,Labor 351,Crop Duster Operator,47,male,available,4.5,Punjabi,Banashankari Hobli
1352,Labor 352,Harvesting Laborer,52,male,part-time,4.1,Hindi,Nazarabad Hobli
1353,Labor 353,Seeder Operator,42,male,unavailable,3.8,Kannada,Bannimantap Hobli
1354,Labor 354,Fertilizer Applicator,22,male,available,3.6,Telugu,Hinkal Hobli
1355,Labor 355,Soil Preparation Laborer,21,male,part-time,1.8,Punjabi,T. Narasipura Hobli
1356,Labor 356,Weeder,38,female,unavailable,3.6,Hindi,Nanjangud Hobli
1357,Labor 357,Farm Laborer,52,male,available,4.3,Kannada,Muddur Hobli
1358,Labor 358,Livestock Caretaker,18,female,part-time,3.8,Telugu,Kammalapura Hobli
1359,Labor 359,Water Carrier,55,male,unavailable,3.3,Punjabi,Savadatti Hobli
1360,Labor 360,Plowing (Traditional & Tractor),23,female,available,1.6,Hindi,Murgod Hobli
1361,Labor 361,Leveling and Soil Tillage,18,female,part-time,1.1,Kannada,Kakati Hobli
1362,Labor 362,Composting/Manure Application,31,male,unavailable,2.2,Telugu,Kittur Hobli
1363,Labor 363,Mulching Techniques,24,female,available,1.2,Punjabi,Hukeri Hobli
1364,Labor 364,Seed Sowing (Manual & Machine),42,female,part-time,4.2,Hindi,Chinchkheda Hobli
1365,Labor 365,"Seedling Transplantation (Paddy, Vegetables)",56,male,unavailable,3.7,Kannada,Gokak Hobli
1366,Labor 366,Nursery Management,25,female,available,2.8,Telugu,Kavoor Hobli
1367,Labor 367,Seed Treatment,57,male,part-time,3.1,Punjabi,Suratkal Hobli
1368,Labor 368,"Weeding (Manual, Chemical, Mechanical)",54,female,unavailable,3.7,Hindi,Bajpe Hobli
1369,Labor 369,"Fertilizer Application (DAP, Urea, Organic)",35,male,available,4.6,Kannada,Mulki Hobli
1370,Labor 370,Pest/Disease Identification & Management,35,male,part-time,3.3,Telugu,Puttur Hobli
1371,Labor 371,"Pruning and Training (Fruit Trees, Vineyards)",54,male,unavailable,4.4,Punjabi,Bellare Hobli
1372,Labor 372,"Grain Harvesting (Wheat, Rice, Maize)",52,male,available,4.5,Hindi,Kadaba Hobli
1373,Labor 373,"Fruit Picking (Mango, Banana, Citrus)",18,male,part-time,1.2,Kannada,Chikkamagaluru Hobli
1374,Labor 374,"Vegetable Harvesting (Tomato, Onion, Potato)",19,female,unavailable,4.5,Telugu,Mudigere Hobli
1375,Labor 375,Tea/Coffee Plucking,33,male,available,4.1,Punjabi,Kadur Hobli
1376,Labor 376,Threshing (Manual & Machine),35,female,part-time,2.1,Hindi,Tarikere Hobli
1377,Labor 377,Winnowing and Cleaning,28,male,unavailable,2.9,Kannada,Koppa Hobli
1378,Labor 378,Grading and Sorting,19,female,available,3.6,Telugu,N.R. Pura Hobli
1379,Labor 379,"Storage (Grain Silos, Cold Storage)",59,female,part-time,3.1,Punjabi,Bhadravati Hobli
1380,Labor 380,Tractor Operations,60,male,unavailable,4.2,Hindi,Tumkur Hobli
1381,Labor 381,Plowing/Harrowing,57,male,available,2.7,Kannada,Sira Hobli
1382,Labor 382,Seeding/Planting Attachments,37,female,part-time,2.2,Telugu,Madhugiri Hobli
1383,Labor 383,Trailer Handling,48,female,unavailable,1.9,Punjabi,Pavagada Hobli
1384,Labor 384,Drip Irrigation Setup,22,female,available,1.2,Hindi,Tiptur Hobli
1385,Labor 385,Sprinkler Operation,43,female,part-time,2.8,Kannada,Gubbi Hobli
1386,Labor 386,Pump Maintenance,46,male,unavailable,1.1,Telugu,Kunigal Hobli
1387,Labor 387,Combine Harvester Operation,22,male,available,4.6,Punjabi,Karwar Hobli
1388,Labor 388,Power Tiller Usage,25,male,part-time,1.8,Hindi,Bhatkal Hobli
1389,Labor 389,Thresher Operation,40,male,unavailable,4.7,Kannada,Kumta Hobli
1390,Labor 390,Animal Husbandry,28,female,available,4.6,Telugu,Honavar Hobli
1391,Labor 391,"Dairy Farming (Milking, Feed Management)",55,female,part-time,4.5,Punjabi,Honavar Hobli
1392,Labor 392,"Poultry Care (Vaccination, Brooding)",28,female,unavailable,1.7,Hindi,Jalahalli Hobli
1393,Labor 393,Goat/Sheep Rearing,24,male,available,4.5,Kannada,Yelahanka Hobli
1394,Labor 394,Fisheries,41,male,part-time,1,Telugu,Hebbal Hobli
1395,Labor 395,Pond Preparation,45,male,unavailable,4.2,Punjabi,Hennur Hobli
1396,Labor 396,Fish Feeding Techniques,42,male,available,2.6,Hindi,Banaswadi Hobli
1397,Labor 397,Net Casting/Harvesting,50,female,part-time,3.8,Kannada,Anekal Hobli
1398,Labor 398,Organic Farming,50,female,unavailable,4.3,Telugu,Koramangala Hobli
1399,Labor 399,Vermicomposting,31,male,available,2.8,Punjabi,Begur Hobli
1400,Labor 400,Biofertilizer Application,59,female,part-time,4.2,Hindi,Banashankari Hobli
1401,Labor 401,"Natural Pest Control (Neem, Cow Urine)",33,male,unavailable,1.3,Kannada,Nazarabad Hobli
1402,Labor 402,Greenhouse Management,20,male,available,2.6,Telugu,Bannimantap Hobli
1403,Labor 403,Polyhouse Maintenance,44,female,part-time,3,Punjabi,Hinkal Hobli
1404,Labor 404,Hydroponics/Aquaponics,58,male,unavailable,5,Hindi,T. Narasipura Hobli
1405,Labor 405,Agroforestry,39,female,available,1.2,Kannada,Nanjangud Hobli
1406,Labor 406,Sapling Planting,50,female,part-time,3.2,Telugu,Muddur Hobli
1407,Labor 407,Timber Harvesting,22,female,unavailable,4.1,Punjabi,Kammalapura Hobli
1408,Labor 408,Beekeeping (for Pollination),36,female,available,4.4,Hindi,Savadatti Hobli
1409,Labor 409,Irrigation Technician,52,male,part-time,4.9,Kannada,Murgod Hobli
1410,Labor 410,Land Leveler,34,female,unavailable,4.1,Telugu,Kakati Hobli
1411,Labor 411,Crop Duster Operator,58,male,available,4.8,Punjabi,Kittur Hobli
1412,Labor 412,Harvesting Laborer,46,male,part-time,2.8,Hindi,Hukeri Hobli
1413,Labor 413,Seeder Operator,51,female,unavailable,2,Kannada,Chinchkheda Hobli
1414,Labor 414,Fertilizer Applicator,47,female,available,2.5,Telugu,Gokak Hobli
1415,Labor 415,Soil Preparation Laborer,51,female,part-time,3.2,Punjabi,Kavoor Hobli
1416,Labor 416,Weeder,37,female,unavailable,2.8,Hindi,Suratkal Hobli
1417,Labor 417,Farm Laborer,43,female,available,2.2,Kannada,Bajpe Hobli
1418,Labor 418,Livestock Caretaker,45,male,part-time,2.6,Telugu,Mulki Hobli
1419,Labor 419,Water Carrier,28,male,unavailable,2.4,Punjabi,Puttur Hobli
1420,Labor 420,Plowing (Traditional & Tractor),49,female,available,3.8,Hindi,Bellare Hobli
1421,Labor 421,Leveling and Soil Tillage,50,female,part-time,2.1,Kannada,Kadaba Hobli
1422,Labor 422,Composting/Manure Application,26,male,unavailable,2.9,Telugu,Chikkamagaluru Hobli
1423,Labor 423,Mulching Techniques,50,male,available,2.8,Punjabi,Mudigere Hobli
1424,Labor 424,Seed Sowing (Manual & Machine),26,female,part-time,3.6,Hindi,Kadur Hobli
1425,Labor 425,"Seedling Transplantation (Paddy, Vegetables)",31,female,unavailable,1.4,Kannada,Tarikere Hobli
1426,Labor 426,Nursery Management,45,female,available,3.2,Telugu,Koppa Hobli
1427,Labor 427,Seed Treatment,22,female,part-time,4.3,Punjabi,N.R. Pura Hobli
1428,Labor 428,"Weeding (Manual, Chemical, Mechanical)",46,female,unavailable,1.9,Hindi,Bhadravati Hobli
1429,Labor 429,"Fertilizer Application (DAP, Urea, Organic)",43,male,available,3.2,Kannada,Tumkur Hobli
1430,Labor 430,Pest/Disease Identification & Management,58,male,part-time,3.6,Telugu,Sira Hobli
1431,Labor 431,"Pruning and Training (Fruit Trees, Vineyards)",59,female,unavailable,3,Punjabi,Madhugiri Hobli
1432,Labor 432,"Grain Harvesting (Wheat, Rice, Maize)",55,female,available,3.8,Hindi,Pavagada Hobli
1433,Labor 433,"Fruit Picking (Mango, Banana, Citrus)",55,male,part-time,3.9,Kannada,Tiptur Hobli
1434,Labor 434,"Vegetable Harvesting (Tomato, Onion, Potato)",52,female,unavailable,5,Telugu,Gubbi Hobli
1435,Labor 435,Tea/Coffee Plucking,30,female,available,4.1,Punjabi,Kunigal Hobli
1436,Labor 436,Threshing (Manual & Machine),31,male,part-time,4.7,Hindi,Karwar Hobli
1437,Labor 437,Winnowing and Cleaning,21,female,unavailable,1.2,Kannada,Bhatkal Hobli
1438,Labor 438,Grading and Sorting,27,male,available,2.6,Telugu,Kumta Hobli
1439,Labor 439,"Storage (Grain Silos, Cold Storage)",60,female,part-time,2.7,Punjabi,Honavar Hobli
1440,Labor 440,Tractor Operations,21,male,unavailable,3.4,Hindi,Honavar Hobli
1441,Labor 441,Plowing/Harrowing,40,female,available,2.8,Kannada,Jalahalli Hobli
1442,Labor 442,Seeding/Planting Attachments,52,female,part-time,4.8,Telugu,Yelahanka Hobli
1443,Labor 443,Trailer Handling,47,female,unavailable,1.5,Punjabi,Hebbal Hobli
1444,Labor 444,Drip Irrigation Setup,46,female,available,4.8,Hindi,Hennur Hobli
1445,Labor 445,Sprinkler Operation,50,female,part-time,2.2,Kannada,Banaswadi Hobli
1446,Labor 446,Pump Maintenance,51,male,unavailable,4,Telugu,Anekal Hobli
1447,Labor 447,Combine Harvester Operation,48,male,available,2.6,Punjabi,Koramangala Hobli
1448,Labor 448,Power Tiller Usage,21,male,part-time,4.3,Hindi,Begur Hobli
1449,Labor 449,Thresher Operation,36,female,unavailable,2.6,Kannada,Banashankari Hobli
1450,Labor 450,Animal Husbandry,49,female,available,2.8,Telugu,Nazarabad Hobli
1451,Labor 451,"Dairy Farming (Milking, Feed Management)",45,female,part-time,2,Punjabi,Bannimantap Hobli
1452,Labor 452,"Poultry Care (Vaccination, Brooding)",50,male,unavailable,1.2,Hindi,Hinkal Hobli
1453,Labor 453,Goat/Sheep Rearing,20,male,available,2.2,Kannada,T. Narasipura Hobli
1454,Labor 454,Fisheries,30,male,part-time,3.3,Telugu,Nanjangud Hobli
1455,Labor 455,Pond Preparation,36,male,unavailable,3.7,Punjabi,Muddur Hobli
1456,Labor 456,Fish Feeding Techniques,26,female,available,1.3,Hindi,Kammalapura Hobli
1457,Labor 457,Net Casting/Harvesting,44,female,part-time,2.7,Kannada,Savadatti Hobli
1458,Labor 458,Organic Farming,43,female,unavailable,2.4,Telugu,Murgod Hobli
1459,Labor 459,Vermicomposting,56,male,available,3.1,Punjabi,Kakati Hobli
1460,Labor 460,Biofertilizer Application,29,female,part-time,1.8,Hindi,Kittur Hobli
1461,Labor 461,"Natural Pest Control (Neem, Cow Urine)",41,male,unavailable,4.9,Kannada,Hukeri Hobli
1462,Labor 462,Greenhouse Management,42,female,available,3.2,Telugu,Chinchkheda Hobli
1463,Labor 463,Polyhouse Maintenance,27,male,part-time,2.6,Punjabi,Gokak Hobli
1464,Labor 464,Hydroponics/Aquaponics,51,female,unavailable,1.6,Hindi,Kavoor Hobli
1465,Labor 465,Agroforestry,44,female,available,3,Kannada,Suratkal Hobli
1466,Labor 466,Sapling Planting,37,female,part-time,2.9,Telugu,Bajpe Hobli
1467,Labor 467,Timber Harvesting,21,female,unavailable,3,Punjabi,Mulki Hobli
1468,Labor 468,Beekeeping (for Pollination),46,female,available,1.8,Hindi,Puttur Hobli
1469,Labor 469,Irrigation Technician,38,female,part-time,3,Kannada,Bellare Hobli
1470,Labor 470,Land Leveler,26,male,unavailable,2.9,Telugu,Kadaba Hobli
1471,Labor 471,Crop Duster Operator,25,male,available,4.4,Punjabi,Chikkamagaluru Hobli
1472,Labor 472,Harvesting Laborer,50,male,part-time,1.8,Hindi,Mudigere Hobli
1473,Labor 473,Seeder Operator,23,female,unavailable,3.3,Kannada,Kadur Hobli
1474,Labor 474,Fertilizer Applicator,57,female,available,4,Telugu,Tarikere Hobli
1475,Labor 475,Soil Preparation Laborer,18,female,part-time,1.5,Punjabi,Koppa Hobli
1476,Labor 476,Weeder,22,male,unavailable,2.8,Hindi,N.R. Pura Hobli
1477,Labor 477,Farm Laborer,50,male,available,4.8,Kannada,Bhadravati Hobli
1478,Labor 478,Livestock Caretaker,35,male,part-time,4.5,Telugu,Tumkur Hobli
1479,Labor 479,Water Carrier,50,male,unavailable,1.7,Punjabi,Sira Hobli
1480,Labor 480,Plowing (Traditional & Tractor),46,female,available,4.2,Hindi,Madhugiri Hobli
1481,Labor 481,Leveling and Soil Tillage,50,male,part-time,2.6,Kannada,Pavagada Hobli
1482,Labor 482,Composting/Manure Application,20,male,unavailable,4.8,Telugu,Tiptur Hobli
1483,Labor 483,Mulching Techniques,48,female,available,2.6,Punjabi,Gubbi Hobli
1484,Labor 484,Seed Sowing (Manual & Machine),56,male,part-time,3.6,Hindi,Kunigal Hobli
1485,Labor 485,"Seedling Transplantation (Paddy, Vegetables)",37,male,unavailable,1.4,Kannada,Karwar Hobli
1486,Labor 486,Nursery Management,44,female,available,2,Telugu,Bhatkal Hobli
1487,Labor 487,Seed Treatment,51,male,part-time,2,Punjabi,Kumta Hobli
1488,Labor 488,"Weeding (Manual, Chemical, Mechanical)",55,female,unavailable,3.5,Hindi,Honavar Hobli
1489,Labor 489,"Fertilizer Application (DAP, Urea, Organic)",26,male,available,4.7,Kannada,Honavar Hobli
1490,Labor 490,Pest/Disease Identification & Management,32,female,part-time,2.1,Telugu,Jalahalli Hobli
1491,Labor 491,"Pruning and Training (Fruit Trees, Vineyards)",55,male,unavailable,4.1,Punjabi,Yelahanka Hobli
1492,Labor 492,"Grain Harvesting (Wheat, Rice, Maize)",35,female,available,3.2,Hindi,Hebbal Hobli
1493,Labor 493,"Fruit Picking (Mango, Banana, Citrus)",39,female,part-time,4,Kannada,Hennur Hobli
1494,Labor 494,"Vegetable Harvesting (Tomato, Onion, Potato)",27,female,unavailable,2.8,Telugu,Banaswadi Hobli
1495,Labor 495,Tea/Coffee Plucking,50,male,available,4.4,Punjabi,Anekal Hobli
1496,Labor 496,Threshing (Manual & Machine),60,male,part-time,1,Hindi,Koramangala Hobli
1497,Labor 497,Winnowing and Cleaning,54,male,unavailable,3.9,Kannada,Begur Hobli
1498,Labor 498,Grading and Sorting,55,male,available,2.4,Telugu,Banashankari Hobli
1499,Labor 499,"Storage (Grain Silos, Cold Storage)",24,female,part-time,4.7,Punjabi,Nazarabad Hobli
1500,Labor 500,Tractor Operations,43,male,unavailable,2.5,Hindi,Bannimantap Hobli
1501,Labor 501,Plowing/Harrowing,26,female,available,2.8,Kannada,Hinkal Hobli
1502,Labor 502,Seeding/Planting Attachments,51,female,part-time,4.1,Telugu,T. Narasipura Hobli
1503,Labor 503,Trailer Handling,19,female,unavailable,1.7,Punjabi,Nanjangud Hobli
1504,Labor 504,Drip Irrigation Setup,29,female,available,1.7,Hindi,Muddur Hobli
1505,Labor 505,Sprinkler Operation,37,female,part-time,3.5,Kannada,Kammalapura Hobli
1506,Labor 506,Pump Maintenance,50,female,unavailable,1.3,Telugu,Savadatti Hobli
1507,Labor 507,Combine Harvester Operation,52,female,available,1.9,Punjabi,Murgod Hobli
1508,Labor 508,Power Tiller Usage,58,male,part-time,3.1,Hindi,Kakati Hobli
1509,Labor 509,Thresher Operation,34,male,unavailable,2.9,Kannada,Kittur Hobli
1510,Labor 510,Animal Husbandry,34,female,available,3.1,Telugu,Hukeri Hobli
1511,Labor 511,"Dairy Farming (Milking, Feed Management)",59,male,part-time,2.9,Punjabi,Chinchkheda Hobli
1512,Labor 512,"Poultry Care (Vaccination, Brooding)",43,male,unavailable,3.5,Hindi,Gokak Hobli
1513,Labor 513,Goat/Sheep Rearing,47,female,available,3.2,Kannada,Kavoor Hobli
1514,Labor 514,Fisheries,28,female,part-time,1.1,Telugu,Suratkal Hobli
1515,Labor 515,Pond Preparation,36,male,unavailable,1.9,Punjabi,Bajpe Hobli
1516,Labor 516,Fish Feeding Techniques,54,female,available,2.2,Hindi,Mulki Hobli
1517,Labor 517,Net Casting/Harvesting,51,male,part-time,4.3,Kannada,Puttur Hobli
1518,Labor 518,Organic Farming,59,male,unavailable,1.4,Telugu,Bellare Hobli
1519,Labor 519,Vermicomposting,29,male,available,2.1,Punjabi,Kadaba Hobli
1520,Labor 520,Biofertilizer Application,34,male,part-time,1.2,Hindi,Chikkamagaluru Hobli
1521,Labor 521,"Natural Pest Control (Neem, Cow Urine)",24,female,unavailable,3.9,Kannada,Mudigere Hobli
1522,Labor 522,Greenhouse Management,48,male,available,3.6,Telugu,Kadur Hobli
1523,Labor 523,Polyhouse Maintenance,25,female,part-time,1.9,Punjabi,Tarikere Hobli
1524,Labor 524,Hydroponics/Aquaponics,30,female,unavailable,4.1,Hindi,Koppa Hobli
1525,Labor 525,Agroforestry,48,male,available,1.2,Kannada,N.R. Pura Hobli
1526,Labor 526,Sapling Planting,42,female,part-time,3,Telugu,Bhadravati Hobli
1527,Labor 527,Timber Harvesting,41,male,unavailable,3.2,Punjabi,Tumkur Hobli
1528,Labor 528,Beekeeping (for Pollination),22,female,available,4.2,Hindi,Sira Hobli
1529,Labor 529,Irrigation Technician,42,male,part-time,3,Kannada,Madhugiri Hobli
1530,Labor 530,Land Leveler,25,male,unavailable,1.9,Telugu,Pavagada Hobli
1531,Labor 531,Crop Duster Operator,21,female,available,3.1,Punjabi,Tiptur Hobli
1532,Labor 532,Harvesting Laborer,33,male,part-time,4.7,Hindi,Gubbi Hobli
1533,Labor 533,Seeder Operator,60,male,unavailable,1.5,Kannada,Kunigal Hobli
1534,Labor 534,Fertilizer Applicator,60,female,available,4,Telugu,Karwar Hobli
1535,Labor 535,Soil Preparation Laborer,24,female,part-time,1.7,Punjabi,Bhatkal Hobli
1536,Labor 536,Weeder,31,male,unavailable,1.3,Hindi,Kumta Hobli
1537,Labor 537,Farm Laborer,35,female,available,4.4,Kannada,Honavar Hobli
1538,Labor 538,Livestock Caretaker,50,male,part-time,1.8,Telugu,Honavar Hobli
1539,Labor 539,Water Carrier,22,female,unavailable,2.5,Punjabi,Jalahalli Hobli
1540,Labor 540,Plowing (Traditional & Tractor),19,male,available,1.1,Hindi,Yelahanka Hobli
1541,Labor 541,Leveling and Soil Tillage,20,male,part-time,4.2,Kannada,Hebbal Hobli
1542,Labor 542,Composting/Manure Application,35,female,unavailable,1.9,Telugu,Hennur Hobli
1543,Labor 543,Mulching Techniques,21,female,available,1.3,Punjabi,Banaswadi Hobli
1544,Labor 544,Seed Sowing (Manual & Machine),35,female,part-time,4.6,Hindi,Anekal Hobli
1545,Labor 545,"Seedling Transplantation (Paddy, Vegetables)",19,male,unavailable,2.4,Kannada,Koramangala Hobli
1546,Labor 546,Nursery Management,31,male,available,2.8,Telugu,Begur Hobli
1547,Labor 547,Seed Treatment,54,female,part-time,4,Punjabi,Banashankari Hobli
1548,Labor 548,"Weeding (Manual, Chemical, Mechanical)",23,male,unavailable,4.6,Hindi,Nazarabad Hobli
1549,Labor 549,"Fertilizer Application (DAP, Urea, Organic)",25,male,available,4.9,Kannada,Bannimantap Hobli
1550,Labor 550,Pest/Disease Identification & Management,42,female,part-time,4.5,Telugu,Hinkal Hobli
1551,Labor 551,"Pruning and Training (Fruit Trees, Vineyards)",46,female,unavailable,1.9,Punjabi,T. Narasipura Hobli
1552,Labor 552,"Grain Harvesting (Wheat, Rice, Maize)",28,female,available,1.1,Hindi,Nanjangud Hobli
1553,Labor 553,"Fruit Picking (Mango, Banana, Citrus)",38,male,part-time,1,Kannada,Muddur Hobli
1554,Labor 554,"Vegetable Harvesting (Tomato, Onion, Potato)",24,female,unavailable,2.7,Telugu,Kammalapura Hobli
1555,Labor 555,Tea/Coffee Plucking,51,female,available,3.9,Punjabi,Savadatti Hobli
1556,Labor 556,Threshing (Manual & Machine),52,female,part-time,4.3,Hindi,Murgod Hobli
1557,Labor 557,Winnowing and Cleaning,44,female,unavailable,1.6,Kannada,Kakati Hobli
1558,Labor 558,Grading and Sorting,59,male,available,4.4,Telugu,Kittur Hobli
1559,Labor 559,"Storage (Grain Silos, Cold Storage)",27,female,part-time,4.5,Punjabi,Hukeri Hobli
1560,Labor 560,Tractor Operations,55,female,unavailable,1.4,Hindi,Chinchkheda Hobli
1561,Labor 561,Plowing/Harrowing,28,female,available,4.6,Kannada,Gokak Hobli
1562,Labor 562,Seeding/Planting Attachments,49,female,part-time,3.4,Telugu,Kavoor Hobli
1563,Labor 563,Trailer Handling,21,female,unavailable,4.4,Punjabi,Suratkal Hobli
1564,Labor 564,Drip Irrigation Setup,36,female,available,2.7,Hindi,Bajpe Hobli
1565,Labor 565,Sprinkler Operation,38,male,part-time,2.4,Kannada,Mulki Hobli
1566,Labor 566,Pump Maintenance,31,female,unavailable,3.4,Telugu,Puttur Hobli
1567,Labor 567,Combine Harvester Operation,36,male,available,3,Punjabi,Bellare Hobli
1568,Labor 568,Power Tiller Usage,34,male,part-time,1.8,Hindi,Kadaba Hobli
1569,Labor 569,Thresher Operation,44,male,unavailable,2.5,Kannada,Chikkamagaluru Hobli
1570,Labor 570,Animal Husbandry,40,male,available,4.3,Telugu,Mudigere Hobli
1571,Labor 571,"Dairy Farming (Milking, Feed Management)",48,male,part-time,2.4,Punjabi,Kadur Hobli
1572,Labor 572,"Poultry Care (Vaccination, Brooding)",37,male,unavailable,3,Hindi,Tarikere Hobli
1573,Labor 573,Goat/Sheep Rearing,18,female,available,4.1,Kannada,Koppa Hobli
1574,Labor 574,Fisheries,26,female,part-time,4.4,Telugu,N.R. Pura Hobli
1575,Labor 575,Pond Preparation,23,male,unavailable,1.2,Punjabi,Bhadravati Hobli
1576,Labor 576,Fish Feeding Techniques,18,female,available,2.6,Hindi,Tumkur Hobli
1577,Labor 577,Net Casting/Harvesting,33,female,part-time,1.3,Kannada,Sira Hobli
1578,Labor 578,Organic Farming,38,male,unavailable,1.8,Telugu,Madhugiri Hobli
1579,Labor 579,Vermicomposting,44,male,available,3.1,Punjabi,Pavagada Hobli
1580,Labor 580,Biofertilizer Application,25,male,part-time,1.9,Hindi,Tiptur Hobli
1581,Labor 581,"Natural Pest Control (Neem, Cow Urine)",21,female,unavailable,2.2,Kannada,Gubbi Hobli
1582,Labor 582,Greenhouse Management,33,female,available,2.4,Telugu,Kunigal Hobli
1583,Labor 583,Polyhouse Maintenance,23,female,part-time,3.7,Punjabi,Karwar Hobli
1584,Labor 584,Hydroponics/Aquaponics,41,female,unavailable,4.6,Hindi,Bhatkal Hobli
1585,Labor 585,Agroforestry,32,male,available,1.7,Kannada,Kumta Hobli
1586,Labor 586,Sapling Planting,49,male,part-time,2.5,Telugu,Honavar Hobli
1587,Labor 587,Timber Harvesting,40,female,unavailable,4.9,Punjabi,Honavar Hobli
1588,Labor 588,Beekeeping (for Pollination),31,female,available,3.1,Hindi,Jalahalli Hobli
1589,Labor 589,Irrigation Technician,41,male,part-time,4.9,Kannada,Yelahanka Hobli
1590,Labor 590,Land Leveler,42,female,unavailable,3.9,Telugu,Hebbal Hobli
1591,Labor 591,Crop Duster Operator,57,male,available,3.7,Punjabi,Hennur Hobli
1592,Labor 592,Harvesting Laborer,55,male,part-time,2.1,Hindi,Banaswadi Hobli
1593,Labor 593,Seeder Operator,28,male,unavailable,2.5,Kannada,Anekal Hobli
1594,Labor 594,Fertilizer Applicator,45,male,available,1.7,Telugu,Koramangala Hobli
1595,Labor 595,Soil Preparation Laborer,54,female,part-time,4.6,Punjabi,Begur Hobli
1596,Labor 596,Weeder,37,female,unavailable,2.4,Hindi,Banashankari Hobli
1597,Labor 597,Farm Laborer,24,female,available,4.9,Kannada,Nazarabad Hobli
1598,Labor 598,Livestock Caretaker,52,male,part-time,1.3,Telugu,Bannimantap Hobli
1599,Labor 599,Water Carrier,23,male,unavailable,2.4,Punjabi,Hinkal Hobli
1600,Labor 600,Plowing (Traditional & Tractor),47,male,available,4.2,Hindi,T. Narasipura Hobli
1601,Labor 601,Leveling and Soil Tillage,58,male,part-time,3.5,Kannada,Nanjangud Hobli
1602,Labor 602,Composting/Manure Application,26,male,unavailable,2.4,Telugu,Muddur Hobli
1603,Labor 603,Mulching Techniques,22,female,available,2.9,Punjabi,Kammalapura Hobli
1604,Labor 604,Seed Sowing (Manual & Machine),46,female,part-time,2.9,Hindi,Savadatti Hobli
1605,Labor 605,"Seedling Transplantation (Paddy, Vegetables)",47,male,unavailable,1.6,Kannada,Murgod Hobli
1606,Labor 606,Nursery Management,44,female,available,1.6,Telugu,Kakati Hobli
1607,Labor 607,Seed Treatment,57,male,part-time,1.4,Punjabi,Kittur Hobli
1608,Labor 608,"Weeding (Manual, Chemical, Mechanical)",58,male,unavailable,3.1,Hindi,Hukeri Hobli
1609,Labor 609,"Fertilizer Application (DAP, Urea, Organic)",24,male,available,3.6,Kannada,Chinchkheda Hobli
1610,Labor 610,Pest/Disease Identification & Management,44,male,part-time,3.4,Telugu,Gokak Hobli
1611,Labor 611,"Pruning and Training (Fruit Trees, Vineyards)",48,female,unavailable,4.2,Punjabi,Kavoor Hobli
1612,Labor 612,"Grain Harvesting (Wheat, Rice, Maize)",43,female,available,1.6,Hindi,Suratkal Hobli
1613,Labor 613,"Fruit Picking (Mango, Banana, Citrus)",18,female,part-time,4.3,Kannada,Bajpe Hobli
1614,Labor 614,"Vegetable Harvesting (Tomato, Onion, Potato)",36,female,unavailable,1.4,Telugu,Mulki Hobli
1615,Labor 615,Tea/Coffee Plucking,37,male,available,3.6,Punjabi,Puttur Hobli
1616,Labor 616,Threshing (Manual & Machine),26,male,part-time,3.6,Hindi,Bellare Hobli
1617,Labor 617,Winnowing and Cleaning,23,female,unavailable,4.9,Kannada,Kadaba Hobli
1618,Labor 618,Grading and Sorting,56,female,available,1.6,Telugu,Chikkamagaluru Hobli
1619,Labor 619,"Storage (Grain Silos, Cold Storage)",20,female,part-time,5,Punjabi,Mudigere Hobli
1620,Labor 620,Tractor Operations,38,male,unavailable,3.7,Hindi,Kadur Hobli
1621,Labor 621,Plowing/Harrowing,24,female,available,4.4,Kannada,Tarikere Hobli
1622,Labor 622,Seeding/Planting Attachments,32,male,part-time,2.5,Telugu,Koppa Hobli
1623,Labor 623,Trailer Handling,45,male,unavailable,3.4,Punjabi,N.R. Pura Hobli
1624,Labor 624,Drip Irrigation Setup,49,female,available,4.7,Hindi,Bhadravati Hobli
